companion: コンパニオン
time: 時間
musician: ミュージシャン
noise: ノイズ
here: ここに
three: 三
signal: 信号
cultivate: 耕す
main: メイン
arms: 武器
approve: 承認する
pipe: パイプ
dollar: ドル
witness: 証人
electric: 電気の
urge: 衝動
civilization: 文明
harmful: 有害な
duck: アヒル
space: スペース
grammar: 文法
east: 東
fourth: 第4
tribe: 部族
nowhere: どこにも
otherwise: さもないと
cycle: サイクル
mean: 平均
cream: クリーム
wall: 壁
according to: による
magazine: マガジン
true: 真実
coward: 臆病者
bit: ビット
infection: 感染
bed: ベッド
pence: ペンス
force: 力
claim: 請求
actual: 実際の
shield: シールド
front: フロント
hall: ホール
tent: テント
cricket: クリケット
meal: お食事
me: 私
visit: 訪問
wave: 波
alive: 生きている
much: たくさん
ourselves: 自分(たち)自身
second: 二番目
nest: ネスト
fear: 恐れ
broad: 広い
tea: お茶
refuse: ごみ
explosion: 爆発
cloth: 布
horse: うま
mysterious: 不思議な
class: クラス
left: 左
speak: 話す
rough: 荒い
thumb: 親指
breathe: 呼吸する
use: つかいます
phrase: フレーズ
curse: 呪い
over: 以上
scene: シーン
step: ステップ
plane: 飛行機
cook: クック
existence: 存在
pattern: パターン
same: 同じ
chimney: 煙突
yesterday: 昨日
shirt: シャツ
meaning: 意味
article: 記事
likely: おそらく
gentle: 優しい
forgive: 許す
close: 閉じる
court: 裁判所
combination: 組み合わせ
curtain: カーテン
coin: コイン
modern: モダン
grateful: 感謝する
establishment: 確立
male: 男性
mountain: 山
ice: 氷
flower: 花
period: 期間
tire [tyre]: タイヤ[タイヤ]
dream: 夢
toy: おもちゃ
journey: 旅
wrap: ラップ
material: 材料
hotel: ホテル
taxi: タクシー
ill: 病気
accident: 事故
pencil: 鉛筆
destruction: 破壊
a: a
manner: 方法
machine: 機械
carriage: キャリッジ
historical: 歴史的
stair: 階段
fur: 毛皮
society: 社会
pity: 残念
terrible: ひどい
competition: コンペ
building: 建物
television: テレビ
lesson: レッスン
property: プロパティ
rat: ラット
advice: 助言
whisper: ささやき
cord: コード
horn: ホーン
spend: 費やす
fine: 細かい
knowledge: 知識
about: 約
coal: 石炭
joint: ジョイント
character: キャラクター
cup: カップ
ancient: 古代
presence: 存在
when: いつ
annoyance: 煩わしさ
furnish: 完成品
opposite: 反対の
aloud: 大声で
healthy: 健康
come: 来る
pocket: ポケット
amusing: 面白い
he: 彼
rate: レート
refusal: 拒否
shape: 形状
condition: 調子
birth: 誕生
proper: 適切な
bad: 悪い
information: 情報
milk: ミルク
splendid: 素晴らしい
wrist: 手首
degree: 度
brown: 褐色
tender: 入札
right: 右
customer: 顧客
pass: パス
tie: ネクタイ
divide: 分ける
snow: 雪
farm: ファーム
four: 4つの
coat: コート
boy: 男の子
join: 参加する
too: あまりにも
shake: 振る
mouth: 口
fulfill: 満たす
pretend: ふりをする
height: 高さ
kilo: キロ
their: 彼らの
law: 法律
mist: ミスト
track: トラック
warm: 暖かい
burn: 燃やす
plenty: たくさん
shot: ショット
fair: フェア
substance: 物質
whichever: いずれかの
attempt: 試みる
another: 別の
proud: 誇りに思う
favor: 好意
city: シティ
bind: バインド
onion: 玉ねぎ
they: 彼ら
event: イベント
rub: こする
and: そして
worst: 最悪
please: お願いします
roof: ルーフ
monkey: モンキー
heaven: 天国
handkerchief: ハンカチ
infect: 感染する
industry: 業界
horizon: 地平線
undo: 元に戻す
argue: 主張する
wish: 望む
footstep: 足音
bunch: 束
former: 前者
result: 結果
number: 数
ink: インク
pair: ペア
international: 国際
attract: 引き付ける
land: 土地
widespread: 広範囲
first: 最初
almost: ほぼ
improve: 改善する
messenger: メッセンジャー
silk: シルク
eye: 眼
box: ボックス
chest: 胸
juice: ジュース
appoint: 任命する
check [cheque]: チェック[チェック]
above: 上の
concerning: 〜に関する
indoors: 屋内
clothes: 服
upside down: 逆さまに
spacecraft: 宇宙船
alike: 似ている
shoulder: ショルダー
seventh: 第七
company: 会社
labor: 労働
round: 円形
across: 横断する
birthday: お誕生日
stranger: ストレンジャー
march: 行進
stomach: 胃
soldier: 兵士
gradual: 徐々に
admittance: アドミタンス
timetable: 時刻表
around: まわり
earth: 地球
yet: まだ
middle: 中間
blame: 責任
common: 一般
flat: 平らな
children: 子供
clay: 粘土
council: 評議会
nail: ネイル
fashionable: ファッショナブルな
owing to: 〜のために
meter: メートル
outside: 外側
tremble: 震える
rain: 雨
cheap: 安いです
born: うまれた
trunk: トランク
compound: 化合物
rush: ラッシュ
local: 地元
ear: 耳
last: 最終
watch: 時計
certain: ある
apparatus: 装置
hook: フック
off: オフ
debt: 債務
per: 〜ごと
introduction: 前書き
grow: 成長する
secretary: 秘書
rare: まれな
infectious: 感染性の
powder: パウダー
edge: エッジ
test: テスト
recognize: 認識する
passage: 通路
detail: 詳細
absent: 不在
complete: コンプリート
sure: 確かに
straight: まっすぐ
flood: 洪水
search: サーチ
dip: 浸漬
perform: 実行する
if: if
low: 低い
funeral: 葬儀
worm: ワーム
offer: 提供
difficult: 難しい
thief: 泥棒
protection: 保護
scenery: 風景
soap: 石鹸
agreement: 契約
learn: 学ぶ
amuse: 楽しむ
somewhere: どこかで
important: 重要
sincere: 誠実
bottom: 下
heat: 熱
threaten: 脅かす
alcohol: アルコール
burst: バースト
meat: お肉
kiss: キッス
better: より良い
greet: 挨拶する
photography: 写真
according: に従って
cloud: 雲
honest: 正直な
lock: ロック
lack: 欠如
anything: 何でも
verb: 動詞
ditch: 溝
sport: スポーツ
bell: ベル
abroad: 海外
careless: 不注意
waist: ウエスト
thirsty: 渇いた
like: 好きな
night: 夜
example: 例
hundred: 百
joke: 冗談で
average: 平均
board: ボード
sweet: 甘い
creature: 生き物
button: ボタン
in: に
hair: ヘア
seize: 押収する
sense: センス
seat: シート
habitual: 習慣的な
loyalty: 忠誠
nor: また
sound: 音
nervous: 神経質な
bar: バー
camp: キャンプ
poet: 詩人
quick: クイック
firm: 当社
forbid: 禁じる
advantage: 利点
similar: 類似
punishment: 罰
advise: アドバイス
explain: 説明する
neighborhood: ご近所
silent: サイレント
suitable: 適切な
means: 手段
obtain: 入手します
jewelry: 宝石
plan: 計画
rank: ランク
keep: キープ
mud: 泥
six: 6
borrow: かりて
film: 膜
window: 窓
evil: 悪の
house: 家
hand: ハンド
entrance: エントランス
treat: 治療する
star: 星
cage: ケージ
violence: 暴力
afford: 余裕
float: 浮く
representative: 代表
be: 〜する
control: コントロール
more: もっと
examine: 調べる
clock: クロック
wait: 待つ
speed: 速度
angry: 怒っている
fail: 失敗します
friendly: フレンドリーな
struggle: 闘争
senseless: 無意味な
politics: 政治
clothing: 衣類
dot: ドット
cowardly: 臆病な
stop: やめる
pastry: ペストリー
broadcast: 放送
introduce: 紹介する
establish: 確立します
arrive: 到着する
magic: マジック
tooth: 歯
insure: 保証する
furniture: 家具
mat: マット
enter: 入る
prayer: 祈り
wedding: 結婚式
width: 幅
circle: サークル
correct: 正しい
attendance: 出席
decision: 決定
sore: 痛み
goods: 品
pronunciation: 発音
scatter: 散乱
reduce: 減らす
report: 報告する
not: ない
decoration: 装飾
decorate: 飾る
fancy: ファンシー
support: サポート
procession: 行列
national: 全国
lamp: ランプ
key: キー
slight: わずかな
knot: 結び目
upstairs: 二階
owe: 借りている
flight: フライト
south: 南
walk: 歩く
fly: 飛ぶ
importance: 重要度
of: の
shoe: 靴
sign: 符号
dry: ドライ
discovery: 発見
matter: 問題
future: 未来
out: でる
appearance: 外観
slope: スロープ
confuse: 混乱させる
odd: 奇妙な
weapon: 武器
network: ネットワーク
state: 状態
false: 偽
terror: テロ
cost: コスト
always: 常に
drug: ドラッグ
see: 見る
compare: 比較する
interest: 利子
steel: 鋼
sour: サワー
trick: トリック
any: どれか
eighth: 第8
never: 決して
yours: あなたの
leave: 離れる
full: 満員
everything: すべて
list: リスト
beg: 請う
careful: 慎重に
capital: 資本
chance: チャンス
sale: 販売
knee: 膝
feelings: 感情
foolish: 愚かな
political: 政治的
trouble: トラブル
deceit: 詐欺
water: 水
room: ルーム
forwards: フォワード
pleasant: 楽しい
team: チーム
smell: 臭い
anxious: 不安
size: サイズ
engineer: エンジニア
something: 何か
pet: ペット
sail: 帆
bag: バッグ
copper: 銅
fireplace: 暖炉
contain: 含む
child: 子
drunk: 酔った
therefore: したがって、
harden: 硬化させる
demand: デマンド
beat: ビート
shopkeeper: 店主
people: 人
may: かもしれない
run: 走る
body: 体
evening: イブニング
equal: 等しい
successful: 成功した
cause: 原因
one: 1
upset: 動揺
amusement: アミューズメント
hers: 彼女たち
personal: 個人的
ground: 接地
fortunate: 幸運な
awake: 起きている
stone: 石
justice: 正義
good-bye: さようなら
belief: 信念
laughter: 笑い
inside: 内部
little: 少し
partner: パートナー
where: どこで
temperature: 温度
interesting: 面白い
wonder: ワンダー
rather: むしろ
necessary: 必要
millionth: 百万分の一
friend: 友人
buy: 購入
quiet: 静か
warn: 警告する
we: 我々
drown: 溺れる
gram: グラム
single: シングル
connect: 接続する
thin: 薄いです
life: 生活
bank: バンク
swell: 膨らむ
daring: 大胆
aircraft: 航空機
human: 人間
but: しかし
bowels: 腸
value: 値
cow: 牛
tonight: 今晩
graceful: 優雅な
wealth: 富
discourage: 落胆する
harmless: 無害な
remark: リマーク
nothing: 何も
whenever: いつでも
choose: 選択する
storm: 嵐
excellent: 優れた
physical: 物理的
activity: アクティビティ
obedience: 従順
every: すべて
knock: ノック
deliver: 配信する
point: ポイント
ugly: 醜い
decide: 決めます
sensation: 感覚
tendency: 傾向
fight: 戦い
fact: 事実
speech: スピーチ
goat: ヤギ
can: できる
outdoors: 屋外
dog: 犬
principle: 原理
care: お手入れ
skill: スキル
complain: 文句を言う
surface: 表面
wild: 野生
war: 戦争
tree: 木
save: セーブ
different: 異なる
pound: ポンド
combine: 結合する
worse: 悪化する
hat: 帽子
wisdom: 知恵
ready: 準備完了
send: 送信する
corner: コーナー
touch: タッチ
supply: 供給
wine: ワイン
background: バックグラウンド
tennis: テニス
shore: 海岸
between: の間に
thing: もの
there: そこ
flash: フラッシュ
camera: カメラ
disappoint: 失望する
election: 選挙
field: フィールド
ashamed: 恥ずかしい
bleed: 出血
magician: マジシャン
nobleman: 貴族
ability: 能力
party: パーティー
enough: 十分な
cheer: 応援
ride: ライド
grand: 壮大
military: 軍事
orange: オレンジ
gold: ゴールド
yellow: 黄
return: リターン
lean: リーン
outer: アウター
shell: シェル
affair: 事件
piece: ピース
real: リアル
often: しばしば
awkward: 厄介な
what: 何
bush: ブッシュ
dark: ダーク
melt: 溶かす
salt: 塩
imagination: 想像力
deep: 深い
attention: 注意
humor: ユーモア
descend: 降下する
skin: 肌
vowel: 母音
pool: プール
us: 米国
nation: 国家
enjoy: 楽しい
sharp: シャープ
rose: ローズ
powerful: 強力な
gate: ゲート
declare: 宣言する
sticky: 粘着性の
factory: 工場
loose: 緩む
position: ポジション
promise: 約束する
invention: 発明
call: コール
temple: 寺院
forward: 前進
continue: 持続する
tense: 時制
spread: 普及
safe: 安全
football: フットボール
husband: 夫
descriptive: 記述的な
story: ストーリー
garage: ガレージ
stupid: 愚か
attend: 出席する
keen: 熱心な
blind: ブラインド
few: 少数
post: 役職
spirit: 精神
diamond: ダイヤモンド
cart: カート
bacteria: 細菌
restaurant: レストラン
sun: 太陽
influential: 影響力のある
decay: 減衰
wrong: 違う
ladder: ラダー
branch: ブランチ
chin: 顎
spot: スポット
muscle: 筋
why: なぜ
concert: コンサート
hire: 雇う
everyone: みんな
regard: 尊敬する
defend: 守る
deserve: 値する
form: 形
strength: 力
count: カウント
useful: 有用
ruin: 台無し
hollow: 中空
religious: 宗教的
pause: 一時停止する
drag: ドラッグ
deer: 鹿
determined: 決定
hope: 希望
zero: ゼロ
legal: 法的
effective: 効果的な
way: 方法
sensible: 感覚的
discover: 発見
hour: 時間
moral: 道徳
similarity: 類似性
at: 〜で
break: ブレーク
anyhow: とにかく
morning: 朝
pot: ポット
her: 彼女
once: 一度
daughter: 娘
tall: 背の高い
station: 駅
bee: 蜂
lie: 嘘つき
banana: バナナ
bless: 祝福
frequent: 頻繁な
soil: 土壌
lend: 貸す
marry: 結婚する
sympathy: 同情
inwards: 内側に
hairy: 毛深い
rich: リッチ
offensive: 攻撃
understand: わかる
do: 行う
message: メッセージ
college: カレッジ
pick: ピック
urgent: 緊急
outdoor: 屋外
steal: スチール
square: 平方
multiply: かける
depend: 依存する
case: 場合
peaceful: 平和な
confidence: 信頼
flow: フロー
fork: フォーク
train: 列車
port: ポート
fix: 修正する
grieve: 悲しむ
defense: 防衛
particular: 特に
university: 大学
airforce: 空軍
eat: 食べる
vehicle: 車両
pleased: 喜んだ
smile: スマイル
sensitive: 敏感な
nearly: ほぼ
sentence: 文
holiday: 休日
division: 分割
desert: 砂漠
structure: 構造
safety: 安全性
miss: ミス
altogether: 全部
request: 要求
operation: 操作
beginning: 始まり
thus: したがって
whole: 全体
silence: 沈黙
meeting: 会議
hourly: 毎時
distant: 遠い
passenger: 旅客
next: 次
polish: 研磨
provisions: 食糧
unit: 単位
rapid: 迅速な
cheese: チーズ
aunt: 叔母
cardboard: 段ボール
animal: 動物
actress: 女優
obey: 従う
high: 高い
cell: 細胞
heel: ヒール
entertainment: 娯楽
spring: 春
question: 質問
lake: 湖
health: 健康
hot: ホット
model: モデル
western: 西洋
thick: 厚い
down: ダウン
lift: リフト
crime: 犯罪
his: 彼
mend: 修復する
cold: コールド
sum: 和
shine: 輝く
away: 離れて
insurance: 保険
area: エリア
flesh: 肉
theirs: それらの
nylon: ナイロン
faithful: 忠実な
snake: ヘビ
expression: 表現
opinion: 意見
piano: ピアノ
farmer: 農家
host: ホスト
comparison: 比較
open: 開いた
satisfaction: 満足
several: いくつかの
on: に
damage: 損傷
ever: これまで
footpath: 歩道
central: 中央
ash: 灰
century: 世紀
useless: 役に立たない
arrange: アレンジ
pain: 痛み
fold: 倍
artificial: 人工的な
instead: 代わりに
soup: スープ
insect: 昆虫
annoy: 悩ます
origin: 原点
motor: モーター
your: きみの
feed: フィード
fire: 火災
whoever: 誰でも
opposition: 反対
related: 関連する
sleep: 睡眠
praise: 賞賛
tin: 錫
range: 範囲
include: 含める
beyond: 超えて
below: 以下
whistle: ホイッスル
map: 地図
group: グループ
old: 古い
exact: 正確
luck: 運
myself: 私自身
thousandth: 千分の一
chief: チーフ
level: レベル
shock: ショック
dead: デッド
to: に
sword: 剣
wooden: 木製
instruction: 命令
profit: 利益
honor: 名誉
bone: 骨
skirt: スカート
contents: 内容
boat: ボート
satisfactory: 満足のいく
suffer: 苦しむ
crash: クラッシュ
traffic: トラフィック
chicken: チキン
naval: 海軍
habit: 習慣
song: 歌
sink: シンク
crush: 粉砕する
surprise: 驚き
picture: 画像
race: レース
chain: 鎖
after: 後
baby: 赤ちゃん
glad: うれしい
up: アップ
compete: 競争する
throw: スロー
system: システム
instrument: 計器
wear: 着る
laugh: 笑い
swallow: 飲み込む
worth: 価値
discouragement: 落胆
white: 白
religion: 宗教
organization: 組織
merry: メリー
pronounce: 発音する
parent: 親
sudden: 突然
ought: すべきだ
parcel: 小包
course: コース
job: ジョブ
favorite: お気に入り
eastern: 東部
collect: 集める
vote: 投票
dull: 鈍い
solid: 固体
none: なし
beautiful: 綺麗な
length: 長さ
represent: 代表する
educate: 教育する
quite: かなり
record: 記録
instruct: 命令する
swim: 泳ぐ
ant: 蟻
custom: カスタム
business: ビジネス
belong: 属する
only: のみ
study: 調査
catch: キャッチ
split: スプリット
net: ネット
fault: 不具合
week: 週間
lodgings: 宿泊施設
encourage: 奨励します
bathe: 入浴
separate: 別々の
bare: 裸
sea: 海
face: 面
painting: ペインティング
limit: 限界
royal: ロイヤル
loss: 損失
morals: 道徳
mine: 鉱山
fall: 秋
dust: ほこり
waste: 廃棄物
desk: 机
begin: ベギン
hardship: 苦難
load: 負荷
production: 製造
translate: 翻訳する
guest: ゲスト
opponent: 相手
rod: ロッド
indoor: 屋内
free: 無料
icy: 氷
doctor: 医師
provision: 準備
yard: ヤード
determination: 決定
reduction: 削減
want: 欲しいです
armor: 鎧
sorrow: 悲しみ
curl: カール
encouragement: 奨励
exercise: 運動
receive: 受け取る
responsible: 責任ある
breakfast: 朝ごはん
subject: 主題
wet: 湿った
lamb: 子羊
swing: スイング
growth: 成長
pig: 豚
invitation: 招待
them: それら
row: 行
remember: 思い出す
wander: さまよう
fairy: 妖精
nine: 9人
girl: 女の子
brass: 真鍮
prince: 王子
excited: 興奮した
place: 場所
service: サービス
hate: 嫌い
than: より
airport: 空港
frighten: 怖がる
bus: バス
whip: ホイップ
center: センター
circular: 円形
black: 黒
everywhere: どこにでも
spoil: 台無しにする
alone: 単独で
jelly: ゼリー
suit: スーツ
kill: 殺します
faint: かすかな
lung: 肺
grass: 草
move: 動く
dirt: 泥
name: 名
priest: 祭司
cement: セメント
candle: キャンドル
spite: 邪悪
money: お金
stay: 滞在
herself: 自分自身
lose: 失う
alphabet: アルファベット
spear: 槍
grandmother: 祖母
prickly: 刺すような
ocean: 海洋
father: お父さん
dangerous: 危険な
title: タイトル
become: 〜になる
drop: ドロップ
nurse: ナース
slow: スロー
generous: 寛大な
paper: 紙
increase: 増加する
again: 再び
slippery: 滑りやすい
wrongdoing: 不正行為
invite: 招待する
gift: 贈り物
rope: ロープ
all: すべて
industrial: 工業用
inform: 通知する
add: 追加する
family: 家族
treatment: 処理
could: できた
each: 各
strong: 強い
west: 西
settle: 解決する
nonsense: ナンセンス
go: 行く
hardly: ほとんど
metal: 金属
severe: 厳しい
play: 遊びます
easy: 簡単
glue: グルー
beneath: 下の
hear: 聞く
during: 中
devil: 悪魔
soul: 魂
sexual: 性的
rob: 奪う
palace: 宮殿
trap: トラップ
copy: コピー
total: 合計
share: シェア
chocolate: チョコレート
fruit: フルーツ
competitor: 競合他社
intend: 意図する
stroke: ストローク
collar: 襟
purpose: 目的
well: よく
problem: 問題
stand: スタンド
wind: 風
dictionary: 辞書
beside: 横
half: ハーフ
figure: 数字
thunder: サンダー
familiar: 身近な
cough: 咳
fate: 運命
might: かもしれない
satisfy: 満たす
noun: 名詞
forest: 森林
heavy: ヘビー
car: 車
third: 三番
green: 緑
bomb: 爆弾
failure: 失敗
pay: 支払う
brick: レンガ
quality: 品質
hundredth: 百分の一
willing: 喜んで
elastic: 弾性
foreigner: 外国人
helpful: 役に立つ
prepare: 準備する
hatred: 憎しみ
school: 学校
toe: つま先
curve: 曲線
govern: 支配する
ache: 痛み
kick: キック
power: パワー
mind: マインド
social: ソーシャル
root: ルート
excite: エキサイト
accept: 受け入れる
breadth: 幅
short: ショート
earn: 獲得する
bicycle: 自転車
worry: 心配
bright: 明るい
typical: 典型的な
early: 早い
special: 特別
change: 変化する
notice: 通知
through: を通して
suggest: 提案する
read: 読む
valuable: 貴重な
shame: 恥
consonant: 子音
neighbor: 隣人
profession: 職業
steep: 急な
wire: 線
standard: 標準
against: に対して
ruler: ルーラー
adventure: 冒険
yes: はい
coffee: コーヒー
waiter: ウェイター
elephant: 象
this: この
battle: 戦い
blue: 青
eyelid: まぶた
drawer: 引き出し
roll: ロール
anger: 怒り
deceive: 欺く
grain: 粒
bottle: ボトル
harm: 害
remove: 除去する
deal: 対処
asleep: 眠っている
kind: 種類
loud: 大声で
possible: 可能
doorway: 戸口
possess: 所有する
valley: 谷
hit: ヒット
distance: 距離
today: 今日
tail: 尾
practical: 実用的な
lump: 塊
street: 通り
whatever: なんでも
son: 息子
believe: 信じる
head: 頭
rise: 上昇
employment: 雇用
gas: ガス
further: さらに
tiger: 虎
jealous: 嫉妬
home: 自宅
past: 過去
boot: ブート
young: 若い
towards: 方向
judge: 裁判官
cruelty: 残酷
gather: ギャザー
eight: 8
blood: 血液
victory: 勝利
crack: 亀裂
delicate: 繊細
view: 見る
wound: 創傷
smoke: 煙
price: 価格
cinema: シネマ
thirst: 渇き
follow: フォローする
perhaps: おそらく
navy: 海軍
lid: 蓋
army: 軍
preserve: 保存する
who: 誰
clever: 賢い
wages: 賃金
fast: 速い
recently: 最近
department: 部門
both: どちらも
anywhere: どこでも
thorough: 完全な
hunt: ハント
duty: 義務
make: 作る
no: いいえ
fat: 脂肪
packet: パケット
still: まだ
it: それ
lightning: ライトニング
other: その他
proof: 証明
rent: 家賃
southern: 南方の
ripe: 熟した
interrupt: 割り込み
plant: 工場
somehow: 何とか
steam: 蒸気
threat: 脅威
effort: 努力
pink: ピンク
shadow: 影
letter: 文字
offend: 怒る
leaf: 葉
tune: 曲
tourist: ツーリスト
sting: 刺す
servant: サーバント
master: マスター
exciting: エキサイティング
wreck: 難破
punish: 罰する
sort: ソート
supper: 晩餐
breath: 呼吸
end: 終わり
else: else
comfortable: 快適
wing: 翼
female: 女性
cheerful: 陽気な
member: メンバー
wise: 賢い
burial: 埋葬
skillful: 巧みな
look: 見える
desirable: 望ましい
part: 部
enclosure: 囲い
parliament: 議会
ceremony: 式
rubber: ゴム
feel: 感じる
sight: 視力
population: 人口
fierce: 激しい
anyone: 誰でも
angle: 角度
tear: 涙
hard: ハード
corn: コーン
stitch: ステッチ
enemy: 敵
raise: 上げる
avoid: 避ける
guidance: ガイダンス
consider: 検討する
boil: 煮る
cheek: 頬
centimeter: センチメートル
finger: 指
narrow: 狭い
probable: 可能性のある
some: 一部
active: アクティブ
inquiry: 問い合わせ
upright: 直立
including: を含む
although: ただし、
great: すばらしいです
weave: 織る
leg: 脚
concern: 懸念
respect: 尊敬
border: 境界
you: 君は
ankle: 足首
machinery: 機械
small: 小さい
specialist: スペシャリスト
hold: ホールド
lot: ロット
interruption: 中断
funny: 面白い
string: 文字列
medical: 医療
from: から
idea: アイディア
joy: 喜び
hopeless: 絶望的な
she: 彼女
back: バック
violent: 暴力的な
take: 取る
act: 行為
arrangement: 配置
reply: 応答
mix: ミックス
transparent: トランスペアレント
ticket: チケット
public: パブリック
formerly: 以前
hurry: 急いで
possession: 所持
tour: ツアー
plate: プレート
police: 警察
fool: ばか
singular: 特異な
calculate: 計算する
usual: 通常の
farmyard: 農場
jealousy: 嫉妬
permission: 許可
garment: 衣服
knife: ナイフ
grandfather: 祖父
sock: 靴下
the: その
shall: 〜する
prevent: 防ぐ
lion: ライオン
risk: リスク
rice: ご飯
sing: 歌う
creep: クリープ
weight: 重量
honorable: 名誉ある
neck: ネック
lonely: 寂しい
accordance: 従う
quantity: 量
metric: メトリック
top: 上
very: 非常に
woman: 女性
conscience: 良心
or: または
charge: 電荷
lately: 最近
work: 作業
big: 大きい
complaint: 苦情
tax: 税金
guess: 推測
now: 今
coast: 海岸
paint: ペイント
theater: 劇場
chemical: 化学
prisoner: 囚人
win: 勝つ
jaw: 顎
glory: 栄光
measure: 測定
sand: 砂
someone: 誰か
committee: 委員会
throat: 喉
sit: 座る
date: 日付
belt: ベルト
railway: 鉄道
hang: ハング
microscope: 顕微鏡
favorable: 有利な
repair: 修復
try: お試しください
twice: 二度
behavior: 動作
himself: 彼自身
danger: 危険
backwards: 後方に
peace: 平和
association: 協会
sometimes: 時々
chemistry: 化学
winter: 冬
beard: ひげ
fill: 埋める
image: 画像
news: ニュース
that: それ
manage: 管理する
castle: 城
love: 愛
comfort: 快適
million: 百万
effect: 効果
sympathetic: 同情的な
themselves: 自分自身
gentleman: 紳士
pack: パック
an: 〜
hospital: 病院
participle: 分詞
difficulty: 困難
dismiss: 却下する
screw: スクリュー
weekly: 毎週
income: 所得
expect: 期待する
road: 道路
minute: 分
queen: 女王
grief: 悲しみ
rude: 失礼
shoot: シュート
silver: 銀
least: 少なくとも
wide: ワイド
drive: ドライブ
reason: 理由
wicked: 邪悪な
silly: 愚かな
cupboard: 食器棚
whether: かどうか
church: 教会
pile: パイル
attack: 攻撃
so: そう
wife: 妻
also: また、
oppose: 反対する
seven: セブン
arm: 腕
day: 日
death: 死
teach: 教える
education: 教育
apart: 離れて
kitchen: キッチン
wood: 木材
double: ダブル
without: なし
popularity: 人気
happy: ハッピー
worship: 崇拝
product: 製品
dress: ドレス
five: 五
bullet: 銃弾
bear: くま
late: 遅く
chase: 追跡
my: じぶんの
within: 以内
brush: みがきます
holy: 聖なる
lodging: 宿泊
actor: 俳優
calm: 落ち着いた
mineral: ミネラル
loyal: 忠実な
cigarette: シガレット
arrival: 到着
let: 〜する
gasoline [petrol]: ガソリン[ガソリン]
scientific: 科学的
crowd: 群集
market: 市場
woolen: ウール
sixth: 第六
history: 歴史
person: 人
inquire: お問い合わせ
tight: タイト
how: どうやって
offense: 犯罪
stretch: ストレッチ
voyage: 航海
slip: スリップ
store: 格納
sell: 売る
cliff: 崖
chair: 椅子
glass: ガラス
mention: 言及
unite: 団結する
stamp: 切手
